NORTHSTAR DRUG STORES, INCORPORATED
STATISTICAL REPORTING UNIT — METHODOLOGICAL STATEMENT ACCOMPANYING REPORT PSU-D-14

1.  SCOPE AND BASIS OF TABULATION

1.1  This statement records the derivation of every figure appearing in the demographic profile for calendar year 1998 and is to be read with that report. It is filed with the Records Custodian and retained for seven years.

1.2  The extract is drawn from the central dispensing system by batch job at period close and written to a working file held on the Division's own equipment. The working file carries the following fields, and no others:

         SERVE_KEY        (surrogate sequence value, discarded at aggregation)
         AGE_BAND         (six positions, coded)
         SEX_CODE         (one position)
         ETHNIC_GRP       (two positions, self-reported, optional)
         LANG_PREF        (three positions, ISO-derived)
         INC_BAND         (two positions, imputed)
         POSTAL_DIST      (three positions)
         REGION_CD        (two positions)
         UNIT_CT          (count of units patronized)
         RX_CT            (count of dispensing events)

1.3  No name, contact particular, prescription number, third-party identifier, date of birth or street particular is carried into the working file. Age is delivered pre-banded by the extract program; the underlying date is not read into the Division's environment at any point.

2.  DERIVATION OF PARTICULAR FIELDS

2.1  AGE_BAND is assigned as of the last day of the reporting period. Persons whose banding cannot be established are excluded from the age tabulation and shown in the marginal as a residual.

2.2  INC_BAND is imputed by matching POSTAL_DIST against the median household income series for the corresponding block groups, weighted by the count of served persons in each. The field expresses a neighbourhood characteristic and is not to be described in any distributed material as an attribute of any served person.

2.3  ETHNIC_GRP and LANG_PREF are elected at enrollment and may be left blank without consequence to service. Blank responses are reported as a distinct category rather than allocated across the responding categories.

3.  SUPPRESSION RULE

3.1  Primary suppression applies to any published cell with a count below 25. Suppressed cells are printed as a hyphen.

3.2  Complementary suppression applies to the smallest surviving cell in each row and column containing a primary suppression, and where necessary to a second such cell, until no suppressed value can be recovered by subtraction.

3.3  Percentages are withheld where the base falls below 100. Suppression is applied after rounding to one decimal place.

3.4  Cross-classification is permitted to two dimensions only. Requests for three-dimensional tables are refused by this Unit as a matter of standing practice, the suppression burden at that depth being such that the surviving table would not support inference.

Filed by: Manager, Statistical Reporting Unit
