REGIONAL TRANSIT AUTHORITY
APPENDIX 2 TO ADMINISTRATIVE STANDARD AS-114
RETENTION AND DISPOSITION SCHEDULE FOR PERSONAL INFORMATION SERIES
Approved by the Records Committee, 22 April 2004

This Appendix restates in tabular form the retention obligations set out in Section 4 of the Standard and assigns to each record series the disposition action and the triggering event from which the period is computed. Where a series appears in more than one system of record, the period runs from the trigger recorded in the system designated as authoritative in the third column. Where two periods might be argued to apply, the longer governs. No series may be destroyed while it is subject to a legal hold issued by the General Counsel, notwithstanding the expiry of the period stated below; a hold suspends the schedule for the affected series until it is lifted in writing.

Series | Category | Authoritative System | Trigger Event | Retention | Disposition
Personnel master file | A | Human Resources Information System | Separation | Term + 7 years | Destroy
Payroll deduction history | A | Payroll | Tax year close | 7 years | Destroy
Time and attendance detail | A | Timekeeping | Pay period close | 3 years | Destroy
Operator certification file | B | Transportation Records | Superseding certification | 5 years | Destroy
Fitness-for-duty determination | B | Transportation Records (segregated) | Determination date | 5 years | Destroy
Fare media account record | C | Revenue Collection System | Last posted transaction | 24 months | Purge
Fare transaction detail | C | Revenue Collection System | Transaction date | 24 months | Purge, then aggregate
Customer correspondence | C | Correspondence Register | Closure of matter | 3 years | Destroy
Incident report and attachments | D | Incident Reporting System | Closure | 7 years | Destroy
Recorded image retrieval log | D | Security Systems | Retrieval date | 3 years | Destroy
Claim file | D | Claims Administration | Final disposition | 7 years | Destroy
Applicant file, non-selected | E | Applicant Tracking | Disposition | 3 years | Destroy
Applicant file, selected | E | Applicant Tracking | Hire | Merge to Series A | Reclassify
Eligibility determination file | F | Accessible Services Registry | Certification expiry | 3 years | Destroy
Trip booking history | F | Accessible Services Registry | Booking date | 24 months | Purge

The columns above are to be reproduced without alteration in any divisional working copy of this schedule. Divisions may not add columns recording data elements, nor may they annotate the schedule with entries drawn from the holdings themselves; the schedule is an instrument of control and is itself classified for internal distribution only. Amendments are made by the Records Committee on the application of a custodian and take effect on publication of a revised Appendix.
