MILLBROOK COUNTY HEALTH DEPARTMENT
Records Handling Standard RM-2.1 (Annex B) — Condensed Category Schedule
Adopted 14 September 2021

    I.  CATEGORY INVENTORY
        A.  Identity fields — Name; Date of Birth; Sex; Race/Ethnicity; Preferred Language.
        B.  Numeric identifiers — Social Security Number; Medical Record Number; Case Number; Insurance Policy Number.
        C.  Locator fields — Street Address; City; Postal Code; Telephone; Email Address.
        D.  Health fields — Diagnosis; Test Result; Treatment Plan; Immunisation History.
        E.  Fiscal fields — Income; Household Size; Charge; Payment Method.

    II.  ACCESS
        A.  Categories A–C: registration and eligibility staff, read/write within assigned clinic.
        B.  Category D: licensed clinical staff and the Health Information Manager only.
        C.  Category E: Billing Unit and Finance Manager only.
        D.  All roles subject to the Minimum Necessary rule and quarterly recertification by the Privacy Officer.

    III.  RETENTION
        A.  Clinical series: 10 years from last service; minors, to age 22.
        B.  Fiscal series: 7 years from close of fiscal year.
        C.  Registry entries: permanent.

    IV.  DISPOSAL
        A.  Annual purge, authorised in writing by the Records Custodian after hold clearance.
        B.  Paper cross-cut shredded; electronic media sanitised to NIST SP 800-88 purge level.
        C.  Certificate of destruction filed and retained permanently.
