COMMISSION ON MOTOR FREIGHT -- ADMINISTRATIVE RULES
RULE 14.7  CUSTODY OF PERSONAL INFORMATION APPEARING ON SHIPPING DOCUMENTS
Adopted 12 MAR 1998                                       Filed: Docket 98-114

PARA.  | SUBJECT           | TEXT
-------|-------------------|--------------------------------------------------
(a)    | Application       | This rule binds every household goods carrier and
       |                   | every freight broker holding a Class B permit.
-------|-------------------|--------------------------------------------------
(b)    | Restricted Fields | Restricted fields on a bill of lading are: Shipper
       |                   | Name; Consignee Name; Delivery Address; Contact
       |                   | Telephone Number; Signature Block.
-------|-------------------|--------------------------------------------------
(c)    | Duty of Holder    | A restricted field shall not appear on any copy
       |                   | retained for statistical use. Such copies shall
       |                   | bear the mark "STATISTICAL -- FIELDS SUPPRESSED".
-------|-------------------|--------------------------------------------------
(d)    | Penalty           | Violation is a Class 3 administrative offense,
       |                   | penalty $500 for each document, and referral to
       |                   | the Office of Enforcement for repeat conduct.
-------|-------------------|--------------------------------------------------

Authority: Motor Freight Act, sec. 11(4). Prior rule 14.7 repealed 12 MAR 1998.
