TITLE 4 — CONFIDENTIALITY OF INDIVIDUALLY IDENTIFIABLE HEALTH AND BILLING INFORMATION
CHAPTER 4 OF THE PUBLIC HEALTH CODE, AS AMENDED
(Certified extract for posting in the business office; effective July 1, 2003)

SECTION    | SUBJECT               | PROVISION
-----------+-----------------------+---------------------------------------------
§ 4-101    | Short Title           | This chapter shall be known and may be cited
           |                       | as the Health Care Information
           |                       | Confidentiality and Records Integrity Act.
           |                       |
§ 4-102    | Findings; Purpose     | The Legislature finds and declares that
           |                       | individuals entertain a substantial and
           |                       | legitimate expectation that information
           |                       | concerning their care, treatment, and the
           |                       | billing therefor shall be held in confidence;
           |                       | that the increasing use of electronic and
           |                       | facsimile transmission has enlarged the risk
           |                       | of unauthorized disclosure; and that uniform
           |                       | standards governing the custody, use, and
           |                       | disposal of such information are necessary to
           |                       | the public health and welfare.
           |                       |
§ 4-103    | Definitions           | For the purposes of this chapter, the terms
           |                       | "covered record," "holder of records,"
           |                       | "disclosure," and "identifier" shall bear the
           |                       | meanings ascribed to them by rule of the
           |                       | Department, and the categories of data
           |                       | constituting identifiers shall be those
           |                       | enumerated in the schedule adopted thereunder.
           |                       |
§ 4-104    | Duties of Holders     | (a) Every holder of records shall designate in
           |                       | writing one Records Custodian, who shall be
           |                       | accountable for compliance herewith.
           |                       | (b) No holder shall disclose a covered record,
           |                       | or any identifier contained therein, save upon
           |                       | the written authorization of the individual who
           |                       | is the subject thereof or as permitted by
           |                       | § 4-106.
           |                       | (c) Every holder shall maintain a written
           |                       | schedule of the identifier fields collected by
           |                       | it, showing for each the field label, the
           |                       | purpose of collection, and the classification
           |                       | assigned.
           |                       | (d) Access shall be restricted to those members
           |                       | of the workforce whose assigned duties
           |                       | reasonably require the same.
           |                       | (e) Each such member shall be instructed in the
           |                       | requirements of this chapter not less often
           |                       | than annually, and a roster of attendance shall
           |                       | be retained by the Records Custodian.
           |                       |
§ 4-105    | Minimum Necessary     | A holder shall disclose only the minimum
           |                       | quantity of identifying data necessary to
           |                       | accomplish the purpose of the disclosure;
           |                       | provided, that this section shall not apply to
           |                       | a disclosure made to the individual who is the
           |                       | subject of the record, nor to a disclosure made
           |                       | pursuant to the order of a court of competent
           |                       | jurisdiction.
           |                       |
§ 4-106    | Permitted Disclosure  | Authorization shall not be required for
           |                       | disclosure: (1) to a third-party payor for the
           |                       | purpose of obtaining or verifying payment;
           |                       | (2) to a collection agent retained under a
           |                       | written agreement conforming to § 4-108;
           |                       | (3) to the Department in the course of an
           |                       | audit or investigation; or (4) as required by
           |                       | the communicable disease or vital statistics
           |                       | reporting laws of this State.
           |                       |
§ 4-107    | Safeguards            | Every holder shall provide for the storage of
           |                       | covered records in locked receptacles or in
           |                       | systems secured by individual password; for the
           |                       | masking or truncation of identifiers upon
           |                       | documents mailed, posted, or displayed in areas
           |                       | accessible to the public; and for destruction
           |                       | by shredding, pulping, incineration, or the
           |                       | irretrievable erasure of electronic media.
           |                       |
§ 4-108    | Agent Agreements      | No holder shall transmit a covered record to a
           |                       | billing service, clearinghouse, or collection
           |                       | agent except under a written agreement whereby
           |                       | such agent assumes the duties imposed by this
           |                       | chapter, undertakes to return or destroy all
           |                       | covered records upon termination, and covenants
           |                       | to report any unauthorized disclosure to the
           |                       | Records Custodian within five business days of
           |                       | discovery.
           |                       |
§ 4-109    | Enforcement           | Violations shall be punishable as provided in
           |                       | Title 9, Chapter 2. The Attorney General may
           |                       | maintain an action for injunctive relief.
