MUNICIPAL UTILITIES COMMISSION — OFFICE OF THE RECORDS CUSTODIAN
PUBLIC RECORDS REQUEST PROCESSING LOG — FILE PRR-2011-0233

  Requested Record ....... Claim file CLM-2011-00847, in its entirety
  Requester Name ......... [SUPPRESSED]
  Requester Address ...... ████████████████████████
  Requester Telephone .... XXX-XXX-XXXX

SEQ  DATE               ACTION TAKEN                        REVIEWING OFFICIAL (ROLE)      EXEMPTION CITED
---  -----------------  ----------------------------------  -----------------------------  ---------------
001  July 11, 2011      Request received at counter         Records Custodian              --
002  July 13, 2011      Ten-day determination letter sent   Records Custodian              --
003  July 26, 2011      File retrieved from Claims Unit     Records Technician             --
004  August 2, 2011     Line-by-line exemption review       Assistant General Counsel      § 6254(c)
005  August 9, 2011     Suppression of identifying fields   Records Custodian              § 6254(c), (k)
006  August 15, 2011    Withholding log prepared            Assistant General Counsel      § 6255
007  August 19, 2011    Production released to requester    Records Custodian              --

NOTE OF THE CUSTODIAN: Personal identifiers appearing throughout the produced file have been withheld as the disclosure thereof would constitute an unwarranted invasion of personal privacy, the public interest in disclosure of such particulars being clearly outweighed by the privacy interest of the individuals concerned. Field labels have been left legible so that the structure of the record remains apparent. Two hundred fourteen (214) pages produced; nine (9) pages withheld in full.
